# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "genes.gtf" "-p" "--countReadPairs" "-o" "feature-count/counts.txt" "-T" "2" "-t" "exon" "-g" "gene_id" "bam-files/read_output.bam" "bam-files/read_output2.bam" "bam-files/read_output3.bam" 
Geneid	Chr	Start	End	Strand	Length	bam-files/read_output.bam	bam-files/read_output2.bam	bam-files/read_output3.bam
YJR010C-A	chrX	458069	458353	-	285	0	0	0
YJR011C	chrX	458633	459418	-	786	0	0	0
YJR012C	chrX	459787	460410	-	624	0	0	0
YJR013W	chrX	460374	461585	+	1212	0	0	0
YJR014W	chrX	461821	462417	+	597	0	0	0
YJR015W	chrX	462713	464245	+	1533	0	0	0
YJR016C	chrX	464443	466200	-	1758	0	0	0
YJR017C	chrX	466513	467025	-	513	0	0	0
YJR018W	chrX	466778	467140	+	363	0	0	0
YJR019C	chrX	467224	468273	-	1050	0	0	0
YJR020W	chrX	467993	468325	+	333	0	0	0
YJR021C	chrX;chrX	468547;469256	469175;469571	-;-	945	0	0	0
YJR022W	chrX	469776	470105	+	330	0	0	0
YJR023C	chrX	469796	470197	-	402	0	0	0
YJR024C	chrX	470222	470956	-	735	0	0	0
YJR025C	chrX	471130	471663	-	534	0	0	0
YJR027W	chrX;chrX	472752;474055	474053;478020	+;+	5268	0	0	0
YJR026W	chrX	472752	474074	+	1323	0	0	0
YJR029W	chrX;chrX	478336;479638	479636;483604	+;+	5268	0	0	0
YJR028W	chrX	478336	479658	+	1323	0	0	0
YJR030C	chrX	483951	486188	-	2238	0	0	0
YJR031C	chrX	486578	490804	-	4227	0	0	0
YJR032W	chrX	491073	492254	+	1182	0	0	0
YJR033C	chrX	492370	496443	-	4074	0	0	0
YJR034W	chrX	496675	497001	+	327	0	0	0
YJR035W	chrX	497347	500604	+	3258	0	0	0
YJR036C	chrX	500705	503383	-	2679	0	0	0
YJR037W	chrX	503094	503477	+	384	0	0	0
YJR038C	chrX	503702	504064	-	363	0	0	0
YJR039W	chrX	503928	507293	+	3366	0	0	0
YJR040W	chrX	507738	510077	+	2340	0	0	0
YJR041C	chrX	510231	513755	-	3525	0	0	0
YJR042W	chrX	514047	516281	+	2235	0	0	0
YJR043C	chrX	516453	517505	-	1053	0	0	0
tM(CAU)J3	chrX	517805	517876	-	72	0	0	0
YJR044C	chrX	518755	519177	-	423	0	0	0
YJR045C	chrX	519630	521594	-	1965	0	0	0
YJR046W	chrX	522040	523854	+	1815	0	0	0
tS(AGA)J	chrX	524004	524085	-	82	0	0	0
YJR047C	chrX	524900	525373	-	474	0	0	0
YJR048W	chrX	526327	526656	+	330	0	0	0
YJR049C	chrX	526876	528468	-	1593	0	0	0
YJR050W	chrX	528689	529396	+	708	0	0	0
YJR051W	chrX	529853	531358	+	1506	0	0	0
tG(GCC)J2	chrX	531820	531890	+	71	0	0	0
YJR052W	chrX	532054	533751	+	1698	0	0	0
YJR053W	chrX	534019	535743	+	1725	0	0	0
YJR054W	chrX	536048	537541	+	1494	0	0	0
tR(CCU)J	chrX	538547	538618	+	72	0	0	0
YJR055W	chrX	538764	539258	+	495	0	0	0
tD(GUC)J4	chrX	541500	541571	+	72	0	0	0
YJR056C	chrX	541784	542494	-	711	0	0	0
tY(GUA)J2	chrX;chrX	542948;542998	542983;543036	-;-	75	0	0	0
YJR057W	chrX	544054	544704	+	651	0	0	0
YJR058C	chrX	544724	545167	-	444	0	0	0
YJR059W	chrX	545779	548235	+	2457	0	0	0
YJR060W	chrX	548751	549806	+	1056	0	0	0
YJR061W	chrX	550503	553310	+	2808	0	0	0
YJR062C	chrX	553468	554841	-	1374	0	0	0
YJR063W	chrX	555187	555564	+	378	0	0	0
YJR064W	chrX	555906	557594	+	1689	0	0	0
YJR065C	chrX	557801	559150	-	1350	0	0	0
YJR066W	chrX	559408	566820	+	7413	0	0	0
YJR067C	chrX	567011	567436	-	426	0	0	0
YJR068W	chrX	567635	568696	+	1062	0	0	0
YJR069C	chrX	568798	569391	-	594	0	0	0
YJR070C	chrX	569613	570590	-	978	0	0	0
YJR071W	chrX	570397	570765	+	369	0	0	0
YJR072C	chrX	570959	572116	-	1158	0	0	0
YJR073C	chrX	572307	572927	-	621	0	0	0
YJR074W	chrX	573087	573743	+	657	0	0	0
YJR075W	chrX	573973	575163	+	1191	0	0	0
YJR076C	chrX	575346	576593	-	1248	0	0	0
YJR077C	chrX	577247	578182	-	936	0	0	0
YJR078W	chrX	578852	580213	+	1362	0	0	0
YJR079W	chrX;chrX	580197;581045	580339;581231	+;+	330	0	0	0
YJR080C	chrX	580424	581608	-	1185	0	0	0
YJR082C	chrX	581906	582247	-	342	0	0	0
YJR083C	chrX	582600	583529	-	930	0	0	0
YJR084W	chrX	583725	584996	+	1272	0	0	0
YJR085C	chrX	585112	585429	-	318	0	0	0
YJR086W	chrX	586060	586392	+	333	0	0	0
YJR087W	chrX	586392	586742	+	351	0	0	0
YJR088C	chrX	586487	587365	-	879	0	0	0
YJR089W	chrX	587710	590574	+	2865	0	0	0
YJR090C	chrX	590864	594319	-	3456	0	0	0
YJR091C	chrX	595053	598328	-	3276	0	0	0
YJR092W	chrX	598727	603070	+	4344	0	0	0
YJR093C	chrX	603212	604195	-	984	0	0	0
YJR094C	chrX	604561	605643	-	1083	0	0	0
YJR094W-A	chrX;chrX	608297;608574	608298;608850	+;+	279	0	0	0
YJR095W	chrX	609765	610733	+	969	0	0	0
YJR096W	chrX	611187	612035	+	849	0	0	0
YJR097W	chrX	612405	612923	+	519	0	0	0
YJR098C	chrX	613178	615145	-	1968	0	0	0
YJR099W	chrX	615565	616275	+	711	0	0	0
YJR100C	chrX	616340	617323	-	984	0	0	0
tL(UAG)J	chrX;chrX	617908;617965	617945;618008	+;+	82	0	0	0
YJR101W	chrX	618223	619023	+	801	0	0	0
YJR102C	chrX	619146	619754	-	609	0	0	0
YJR103W	chrX	620743	622437	+	1695	0	0	0
YJR104C	chrX	622538	623002	-	465	0	0	0
YJR105W	chrX	623569	624591	+	1023	0	0	0
YJR106W	chrX	624826	627003	+	2178	0	0	0
YJR107W	chrX	627329	628315	+	987	0	0	0
YJR108W	chrX	628702	629073	+	372	0	0	0
YJR109C	chrX	629575	632931	-	3357	0	0	0
YJR110W	chrX	633605	635671	+	2067	0	0	0
YJR111C	chrX	635845	636696	-	852	0	0	0
YJR112W	chrX	637020	637625	+	606	0	0	0
YJR112W-A	chrX;chrX	637780;637849	637799;638158	+;+	330	0	0	0
YJR113C	chrX	638222	638965	-	744	0	0	0
YJR114W	chrX	638649	639041	+	393	0	0	0
YJR115W	chrX	639932	640441	+	510	0	0	0
YJR116W	chrX	640815	641654	+	840	0	0	0
YJR117W	chrX	641997	643358	+	1362	0	0	0
YJR118C	chrX	643480	644091	-	612	0	0	0
YJR119C	chrX	644294	646480	-	2187	0	0	0
YJR120W	chrX	647116	647466	+	351	0	0	0
YJR121W	chrX	647597	649132	+	1536	0	0	0
YJR122W	chrX	649766	651259	+	1494	0	0	0
YJR123W	chrX	651891	652568	+	678	0	0	0
YJR124C	chrX	652882	654228	-	1347	0	0	0
YJR125C	chrX	654727	655953	-	1227	0	0	0
YJR126C	chrX	656244	658679	-	2436	0	0	0
YJR127C	chrX	658907	663049	-	4143	0	0	0
YJR128W	chrX	662911	663270	+	360	0	0	0
snR3	chrX	663739	663932	+	194	0	0	0
YJR129C	chrX	663990	665009	-	1020	0	0	0
YJR130C	chrX	665208	667127	-	1920	0	0	0
YJR131W	chrX	667634	669283	+	1650	0	0	0
YJR132W	chrX	669512	672658	+	3147	0	0	0
YJR133W	chrX	672981	673610	+	630	0	0	0
YJR134C	chrX	673719	675842	-	2124	0	0	0
YJR135C	chrX	676049	676768	-	720	0	0	0
YJR135W-A	chrX	676961	677224	+	264	0	0	0
YJR136C	chrX	677431	678696	-	1266	0	0	0
YJR137C	chrX	678947	683275	-	4329	0	0	0
YJR138W	chrX	684557	689311	+	4755	0	0	0
YJR139C	chrX	689435	690514	-	1080	0	0	0
YJR140C	chrX	690740	695686	-	4947	0	0	0
YJR140W-A	chrX	690951	691100	+	150	0	0	0
YJR141W	chrX	695896	696939	+	1044	0	0	0
YJR142W	chrX	697131	698159	+	1029	0	0	0
YJR143C	chrX	698316	700604	-	2289	0	0	0
YJR144W	chrX	700872	701681	+	810	0	0	0
YJR145C	chrX;chrX	702017;703045	702788;703058	-;-	786	0	0	0
YJR146W	chrX	703875	704228	+	354	0	0	0
YJR147W	chrX	704186	705262	+	1077	0	0	0
YJR148W	chrX	705734	706864	+	1131	0	0	0
YJR149W	chrX	707150	708364	+	1215	0	0	0
YJR150C	chrX	708801	709697	-	897	0	0	0
YJR151C	chrX	712245	715730	-	3486	0	0	0
YJR151W-A	chrX	717570	717620	+	51	0	0	0
YJR152W	chrX	719656	721287	+	1632	0	0	0
YJR153W	chrX	722805	723890	+	1086	0	0	0
YJR154W	chrX	725774	726814	+	1041	0	0	0
YJR155W	chrX	727395	728261	+	867	0	0	0
YJR156C	chrX	728564	729586	-	1023	0	0	0
YJR157W	chrX	730505	730867	+	363	0	0	0
YJR158W	chrX	732430	734133	+	1704	0	0	0
YJR159W	chrX	736034	737107	+	1074	0	0	0
YJR160C	chrX	737998	739806	-	1809	0	0	0
YJR161C	chrX	742838	743989	-	1152	0	0	0
YJR162C	chrX	744901	745251	-	351	0	0	0
YKL225W	chrXI	452	799	+	348	0	0	0
YKL224C	chrXI	1811	2182	-	372	0	0	0
YKL223W	chrXI	2390	2722	+	333	0	0	0
YKL222C	chrXI	3504	5621	-	2118	0	0	0
YKL221W	chrXI	6108	7529	+	1422	0	0	0
YKL220C	chrXI	9092	11227	-	2136	0	0	0
YKL219W	chrXI	14485	15708	+	1224	0	0	0
YKL218C	chrXI	17359	18339	-	981	0	0	0
YKL217W	chrXI	22234	24084	+	1851	0	0	0
YKL216W	chrXI	25216	26160	+	945	0	0	0
YKL215C	chrXI	26828	30688	-	3861	0	0	0
YKL214C	chrXI	31083	31694	-	612	0	0	0
YKL213C	chrXI	31961	34108	-	2148	0	0	0
YKL212W	chrXI	34544	36415	+	1872	0	0	0
YKL211C	chrXI	36700	38154	-	1455	0	0	0
snR64	chrXI	38812	38912	+	101	0	0	0
YKL210W	chrXI	39164	42238	+	3075	0	0	0
YKL209C	chrXI	42424	46296	-	3873	0	0	0
tT(CGU)K	chrXI	46736	46807	-	72	0	0	0
YKL208W	chrXI	47158	47973	+	816	0	0	0
YKL207W	chrXI	48195	48956	+	762	0	0	0
YKL206C	chrXI	49007	49810	-	804	0	0	0
YKL205W	chrXI	50052	53354	+	3303	0	0	0
YKL204W	chrXI	53705	55603	+	1899	0	0	0
YKL203C	chrXI	55936	63360	-	7425	0	0	0
YKL202W	chrXI	63822	64403	+	582	0	0	0
YKL201C	chrXI	63931	67467	-	3537	0	0	0
YKL198C	chrXI	68274	70223	-	1950	0	0	0
YKL197C	chrXI	70739	73870	-	3132	0	0	0
tN(GUU)K	chrXI	74629	74702	+	74	0	0	0
YKL196C	chrXI	74937	75539	-	603	0	0	0
YKL195W	chrXI	75826	77037	+	1212	0	0	0
YKL194C	chrXI	77263	78651	-	1389	0	0	0
YKL193C	chrXI	78871	79887	-	1017	0	0	0
YKL192C	chrXI	80165	80542	-	378	0	0	0
YKL191W	chrXI	81040	82644	+	1605	0	0	0
YKL190W	chrXI;chrXI	82952;83080	83003;83555	+;+	528	0	0	0
tL(UAA)K	chrXI	84213	84296	+	84	0	0	0
YKL189W	chrXI	84709	85908	+	1200	0	0	0
YKL188C	chrXI	86230	88791	-	2562	0	0	0
YKL187C	chrXI	89289	91541	-	2253	0	0	0
YKL186C	chrXI	92749	93303	-	555	0	0	0
YKL185W	chrXI	94504	96270	+	1767	0	0	0
YKL184W	chrXI	96762	98162	+	1401	0	0	0
YKL183C-A	chrXI	98400	98612	-	213	0	0	0
YKL183W	chrXI	98726	99646	+	921	0	0	0
YKL182W	chrXI	100676	106831	+	6156	0	0	0
YKL181W	chrXI	107321	108604	+	1284	0	0	0
YKL180W	chrXI;chrXI	109274;109889	109582;110134	+;+	555	0	0	0
YKL179C	chrXI	110469	112508	-	2040	0	0	0
YKL178C	chrXI	113220	114632	-	1413	0	0	0
YKL177W	chrXI	114361	114699	+	339	0	0	0
YKL176C	chrXI	115505	117991	-	2487	0	0	0
YKL175W	chrXI	118798	120309	+	1512	0	0	0
YKL174C	chrXI	120385	122241	-	1857	0	0	0
YKL173W	chrXI	122522	125548	+	3027	0	0	0
YKL172W	chrXI	125764	127047	+	1284	0	0	0
YKL171W	chrXI	127480	130266	+	2787	0	0	0
YKL170W	chrXI	130639	131055	+	417	0	0	0
YKL169C	chrXI	130690	131073	-	384	0	0	0
YKL168C	chrXI	131293	133467	-	2175	0	0	0
YKL167C	chrXI	133726	134139	-	414	0	0	0
YKL166C	chrXI	134514	135710	-	1197	0	0	0
YKL165C-A	chrXI	135795	136028	-	234	0	0	0
YKL165C	chrXI	137937	140696	-	2760	0	0	0
tE(UUC)K	chrXI	141023	141094	-	72	0	0	0
YKL164C	chrXI	141799	142824	-	1026	0	0	0
YKL163W	chrXI	144406	145383	+	978	0	0	0
YKL162C-A	chrXI	145927	146079	-	153	0	0	0
YKL162C	chrXI	147635	148843	-	1209	0	0	0
YKL161C	chrXI	149391	150692	-	1302	0	0	0
YKL160W	chrXI	153274	153711	+	438	0	0	0
YKL159C	chrXI	153821	154456	-	636	0	0	0
YKL157W	chrXI;chrXI	154996;155660	155276;158186	+;+	2808	0	0	0
YKL156W	chrXI;chrXI	158619;158972	158621;159217	+;+	249	0	0	0
YKL156C-A	chrXI	158980	159096	-	117	0	0	0
YKL155C	chrXI	159461	161347	-	1887	0	0	0
YKL154W	chrXI	161606	162340	+	735	0	0	0
tR(UCU)K	chrXI	162492	162563	-	72	0	0	0
YKL153W	chrXI	163605	164114	+	510	0	0	0
YKL152C	chrXI	163647	164390	-	744	0	0	0
YKL151C	chrXI	164922	165935	-	1014	0	0	0
YKL150W	chrXI	166549	167457	+	909	0	0	0
YKL149C	chrXI	167617	168834	-	1218	0	0	0
YKL148C	chrXI	169212	171134	-	1923	0	0	0
YKL147C	chrXI	171556	172173	-	618	0	0	0
YKL146W	chrXI	171788	173866	+	2079	0	0	0
YKL145W	chrXI	174218	175621	+	1404	0	0	0
YKL145W-A	chrXI	174963	175055	+	93	0	0	0
YKL144C	chrXI	175848	176486	-	639	0	0	0
YKL143W	chrXI	176786	178177	+	1392	0	0	0
YKL142W	chrXI	178520	179179	+	660	0	0	0
YKL141W	chrXI	179672	180268	+	597	0	0	0
YKL140W	chrXI	180784	182430	+	1647	0	0	0
YKL139W	chrXI	182963	184549	+	1587	0	0	0
YKL138C-A	chrXI	184808	185017	-	210	0	0	0
YKL138C	chrXI	185291	185686	-	396	0	0	0
YKL137W	chrXI	185962	186297	+	336	0	0	0
YKL136W	chrXI	186421	186819	+	399	0	0	0
YKL135C	chrXI	186465	188645	-	2181	0	0	0
YKL134C	chrXI	189129	191441	-	2313	0	0	0
YKL133C	chrXI	191678	193069	-	1392	0	0	0
YKL132C	chrXI	193573	194865	-	1293	0	0	0
YKL131W	chrXI	194477	194998	+	522	0	0	0
YKL130C	chrXI	195287	196027	-	741	0	0	0
YKL129C	chrXI	196348	200163	-	3816	0	0	0
YKL128C	chrXI	200528	201415	-	888	0	0	0
tK(CUU)K	chrXI	202643	202715	+	73	0	0	0
YKL127W	chrXI	203185	204897	+	1713	0	0	0
YKL126W	chrXI	205351	207393	+	2043	0	0	0
YKL125W	chrXI	207891	209774	+	1884	0	0	0
YKL124W	chrXI	210237	211976	+	1740	0	0	0
YKL123W	chrXI	211687	212067	+	381	0	0	0
YKL122C	chrXI	212139	212642	-	504	0	0	0
YKL121W	chrXI	213786	216344	+	2559	0	0	0
YKL120W	chrXI	216988	217962	+	975	0	0	0
YKL119C	chrXI	218214	218861	-	648	0	0	0
YKL118W	chrXI	218770	219081	+	312	0	0	0
tA(AGC)K1	chrXI	219539	219611	+	73	0	0	0
YKL117W	chrXI	219968	220618	+	651	0	0	0
YKL116C	chrXI	220988	222544	-	1557	0	0	0
YKL115C	chrXI	222537	222929	-	393	0	0	0
YKL114C	chrXI	222996	224099	-	1104	0	0	0
YKL113C	chrXI	224371	225519	-	1149	0	0	0
YKL112W	chrXI	226214	228409	+	2196	0	0	0
YKL111C	chrXI	228108	228443	-	336	0	0	0
YKL110C	chrXI	228583	229524	-	942	0	0	0
YKL109W	chrXI	231871	233535	+	1665	0	0	0
YKL108W	chrXI	234070	235431	+	1362	0	0	0
YKL107W	chrXI	235785	236714	+	930	0	0	0
YKL106C-A	chrXI	236791	236910	-	120	0	0	0
YKL106W	chrXI	237180	238535	+	1356	0	0	0
YKL105C	chrXI	238829	242227	-	3399	0	0	0
YKL104C	chrXI	242864	245017	-	2154	0	0	0
YKL103C	chrXI	245782	247326	-	1545	0	0	0
YKL102C	chrXI	247706	248011	-	306	0	0	0
YKL101W	chrXI	248564	253120	+	4557	0	0	0
YKL100C	chrXI	253341	255104	-	1764	0	0	0
YKL100W-A	chrXI	253803	253892	+	90	0	0	0
YKL099C	chrXI	255364	256116	-	753	0	0	0
YKL098W	chrXI	256414	257487	+	1074	0	0	0
YKL097C	chrXI	258147	258557	-	411	0	0	0
YKL096C-B	chrXI	258717	258866	-	150	0	0	0
YKL096W-A	chrXI	258897	259175	+	279	0	0	0
YKL096W	chrXI	260776	261495	+	720	0	0	0
YKL095W	chrXI	261921	262757	+	837	0	0	0
YKL094W	chrXI	262993	263934	+	942	0	0	0
YKL093W	chrXI	264433	265452	+	1020	0	0	0
YKL092C	chrXI	265789	269103	-	3315	0	0	0
YKL091C	chrXI	269362	270294	-	933	0	0	0
YKL090W	chrXI	271522	272853	+	1332	0	0	0
YKL089W	chrXI	273038	274687	+	1650	0	0	0
YKL088W	chrXI	274927	276642	+	1716	0	0	0
YKL087C	chrXI	276833	277507	-	675	0	0	0
YKL086W	chrXI	277925	278308	+	384	0	0	0
YKL085W	chrXI	278767	279771	+	1005	0	0	0
YKL084W	chrXI	280153	280503	+	351	0	0	0
YKL083W	chrXI	280565	281179	+	615	0	0	0
YKL082C	chrXI	280669	281973	-	1305	0	0	0
YKL081W	chrXI;chrXI	282535;283066	282739;284099	+;+	1239	0	0	0
snR38	chrXI	282829	282923	+	95	0	0	0
YKL080W	chrXI	284674	285852	+	1179	0	0	0
YKL079W	chrXI	286247	288217	+	1971	0	0	0
YKL078W	chrXI	288489	290696	+	2208	0	0	0
YKL077W	chrXI	291097	292275	+	1179	0	0	0
YKL076C	chrXI	292482	292865	-	384	0	0	0
YKL075C	chrXI	292600	293952	-	1353	0	0	0
YKL074C	chrXI	294254	295837	-	1584	0	0	0
YKL073W	chrXI	296074	298719	+	2646	0	0	0
YKL072W	chrXI	299226	301526	+	2301	0	0	0
tW(CCA)K	chrXI;chrXI	302562;302632	302597;302667	+;+	72	0	0	0
YKL071W	chrXI	304758	305528	+	771	0	0	0
YKL070W	chrXI	305855	306364	+	510	0	0	0
YKL069W	chrXI	306929	307471	+	543	0	0	0
tV(AAC)K1	chrXI	307788	307861	-	74	0	0	0
YKL068W-A	chrXI	308850	309086	+	237	0	0	0
YKL068W	chrXI	309843	312722	+	2880	0	0	0
tH(GUG)K	chrXI	313045	313116	-	72	0	0	0
YKL067W	chrXI	314456	314917	+	462	0	0	0
YKL066W	chrXI	314925	315368	+	444	0	0	0
YKL065W-A	chrXI	315598	315819	+	222	0	0	0
YKL065C	chrXI	316081	316701	-	621	0	0	0
YKL064W	chrXI	317408	320317	+	2910	0	0	0
YKL063C	chrXI	320659	321162	-	504	0	0	0
YKL062W	chrXI	322872	324764	+	1893	0	0	0
YKL061W	chrXI	325415	325756	+	342	0	0	0
YKL060C	chrXI	326052	327131	-	1080	0	0	0
YKL059C	chrXI	327762	329087	-	1326	0	0	0
YKL058W	chrXI	329810	330178	+	369	0	0	0
YKL057C	chrXI	330500	333613	-	3114	0	0	0
YKL056C	chrXI	334056	334559	-	504	0	0	0
YKL055C	chrXI	334965	335801	-	837	0	0	0
YKL054C	chrXI	336181	338397	-	2217	0	0	0
YKL053C-A	chrXI	338826	339086	-	261	0	0	0
YKL053W	chrXI	339216	339590	+	375	0	0	0
YKL052C	chrXI	339312	340190	-	879	0	0	0
YKL051W	chrXI	340956	342017	+	1062	0	0	0
YKL050C	chrXI	342496	345264	-	2769	0	0	0
YKL049C	chrXI	345719	346408	-	690	0	0	0
YKL048C	chrXI	346858	348780	-	1923	0	0	0
YKL047W	chrXI	349107	350657	+	1551	0	0	0
YKL046C	chrXI	350919	352268	-	1350	0	0	0
YKL045W	chrXI	353137	354723	+	1587	0	0	0
YKL044W	chrXI	355966	356286	+	321	0	0	0
YKL043W	chrXI	356392	357492	+	1101	0	0	0
YKL042W	chrXI	358119	359210	+	1092	0	0	0
YKL041W	chrXI	359786	360460	+	675	0	0	0
YKL040C	chrXI	360701	361471	-	771	0	0	0
YKL039W	chrXI	362265	363836	+	1572	0	0	0
snR69	chrXI	364419	364519	+	101	0	0	0
YKL038W	chrXI	365248	368760	+	3513	0	0	0
YKL037W	chrXI	369008	369364	+	357	0	0	0
YKL036C	chrXI	369171	369563	-	393	0	0	0
YKL035W	chrXI	369534	371033	+	1500	0	0	0
YKL034W	chrXI	371472	373748	+	2277	0	0	0
YKL033W-A	chrXI	374148	374858	+	711	0	0	0
YKL033W	chrXI	375099	378215	+	3117	0	0	0
tV(AAC)K2	chrXI	379323	379396	+	74	0	0	0
YKL032C	chrXI	379708	381501	-	1794	0	0	0
YKL031W	chrXI	381715	382128	+	414	0	0	0
YKL030W	chrXI	382141	382746	+	606	0	0	0
YKL029C	chrXI	382359	384368	-	2010	0	0	0
YKL028W	chrXI	385401	386849	+	1449	0	0	0
YKL027W	chrXI	387205	388548	+	1344	0	0	0
YKL026C	chrXI	389023	389526	-	504	0	0	0
YKL025C	chrXI	389883	391922	-	2040	0	0	0
YKL024C	chrXI	392169	392783	-	615	0	0	0
YKL023C-A	chrXI	392789	393016	-	228	0	0	0
YKL023W	chrXI	393364	394197	+	834	0	0	0
YKL022C	chrXI	394369	396891	-	2523	0	0	0
YKL021C	chrXI	396987	398393	-	1407	0	0	0
YKL020C	chrXI	398475	401723	-	3249	0	0	0
YKL019W	chrXI	402211	403161	+	951	0	0	0
YKL018C-A	chrXI	403223	403522	-	300	0	0	0
YKL018W	chrXI	403745	404734	+	990	0	0	0
YKL017C	chrXI	404833	406884	-	2052	0	0	0
YKL016C	chrXI	407108	407632	-	525	0	0	0
YKL015W	chrXI	408187	411126	+	2940	0	0	0
YKL014C	chrXI	411262	416556	-	5295	0	0	0
YKL013C	chrXI	417151	417666	-	516	0	0	0
YKL012W	chrXI	417953	419704	+	1752	0	0	0
YKL011C	chrXI	419798	420859	-	1062	0	0	0
YKL010C	chrXI	421067	425518	-	4452	0	0	0
YKL009W	chrXI	425885	426595	+	711	0	0	0
YKL008C	chrXI	426938	428194	-	1257	0	0	0
YKL007W	chrXI	428945	429751	+	807	0	0	0
YKL006C-A	chrXI;chrXI	429841;430240	430098;430275	-;-	294	0	0	0
snR87	chrXI	430673	430781	-	109	0	0	0
YKL006W	chrXI;chrXI	431549;432076	431677;432363	+;+	417	0	0	0
YKL005C	chrXI	432736	434520	-	1785	0	0	0
YKL004W	chrXI	435223	436428	+	1206	0	0	0
YKL003C	chrXI	436740	437135	-	396	0	0	0
YKL002W	chrXI;chrXI	437421;437549	437480;438187	+;+	699	0	0	0
YKL001C	chrXI	438420	439028	-	609	0	0	0
YKR001C	chrXI	440251	442365	-	2115	0	0	0
YKR002W	chrXI	442875	444581	+	1707	0	0	0
YKR003W	chrXI	445024	446370	+	1347	0	0	0
YKR004C	chrXI;chrXI	446442;447454	447349;447679	-;-	1134	0	0	0
YKR005C	chrXI;chrXI	448164;449664	449594;449810	-;-	1578	0	0	0
YKR006C	chrXI	450066	450860	-	795	0	0	0
YKR007W	chrXI	451077	451631	+	555	0	0	0
YKR008W	chrXI	451844	453721	+	1878	0	0	0
YKR009C	chrXI	453995	456697	-	2703	0	0	0
tL(CAA)K	chrXI;chrXI	458200;458270	458237;458313	+;+	82	0	0	0
YKR010C	chrXI	458567	460882	-	2316	0	0	0
YKR011C	chrXI	461278	462339	-	1062	0	0	0
YKR012C	chrXI	463382	463759	-	378	0	0	0
YKR013W	chrXI	463602	464591	+	990	0	0	0
YKR014C	chrXI	465010	465714	-	705	0	0	0
YKR015C	chrXI	466604	468310	-	1707	0	0	0
YKR016W	chrXI	469360	470982	+	1623	0	0	0
YKR017C	chrXI	471337	472992	-	1656	0	0	0
YKR018C	chrXI	473366	475543	-	2178	0	0	0
YKR019C	chrXI	475859	477706	-	1848	0	0	0
YKR020W	chrXI	477981	478475	+	495	0	0	0
YKR021W	chrXI	478877	481624	+	2748	0	0	0
YKR022C	chrXI	481814	482782	-	969	0	0	0
YKR023W	chrXI	483062	484654	+	1593	0	0	0
YKR024C	chrXI	484787	487015	-	2229	0	0	0
YKR025W	chrXI	487413	488261	+	849	0	0	0
YKR026C	chrXI	488381	489298	-	918	0	0	0
tR(ACG)K	chrXI	490611	490683	+	73	0	0	0
YKR027W	chrXI	491007	493304	+	2298	0	0	0
YKR028W	chrXI	493900	497196	+	3297	0	0	0
YKR029C	chrXI	497220	499475	-	2256	0	0	0
YKR030W	chrXI	499924	500745	+	822	0	0	0
YKR031C	chrXI	500986	506037	-	5052	0	0	0
YKR032W	chrXI	506159	506473	+	315	0	0	0
YKR033C	chrXI	506521	506946	-	426	0	0	0
YKR034W	chrXI	506540	507349	+	810	0	0	0
YKR035C	chrXI	507562	508203	-	642	0	0	0
YKR035W-A	chrXI	507581	508195	+	615	0	0	0
YKR036C	chrXI	508344	510275	-	1932	0	0	0
YKR037C	chrXI	510552	511439	-	888	0	0	0
YKR038C	chrXI	511641	512801	-	1161	0	0	0
tD(GUC)K	chrXI	512974	513045	-	72	0	0	0
YKR039W	chrXI	514705	516513	+	1809	0	0	0
tA(AGC)K2	chrXI	517630	517702	+	73	0	0	0
YKR040C	chrXI	517705	518208	-	504	0	0	0
YKR041W	chrXI	517840	518592	+	753	0	0	0
YKR042W	chrXI	519169	520266	+	1098	0	0	0
YKR043C	chrXI	520539	521354	-	816	0	0	0
YKR044W	chrXI	521657	522988	+	1332	0	0	0
YKR045C	chrXI	523060	523611	-	552	0	0	0
YKR046C	chrXI	523865	524716	-	852	0	0	0
YKR047W	chrXI	524899	525204	+	306	0	0	0
YKR048C	chrXI	525029	526282	-	1254	0	0	0
YKR049C	chrXI	526472	526873	-	402	0	0	0
YKR050W	chrXI	527457	530126	+	2670	0	0	0
YKR051W	chrXI	530588	531844	+	1257	0	0	0
YKR052C	chrXI	532192	533106	-	915	0	0	0
YKR053C	chrXI	533709	534923	-	1215	0	0	0
YKR054C	chrXI	535289	547567	-	12279	0	0	0
YKR055W	chrXI	547858	548733	+	876	0	0	0
YKR056W	chrXI	549090	551009	+	1920	0	0	0
YKR057W	chrXI;chrXI	551299;551645	551322;551884	+;+	264	0	0	0
YKR058W	chrXI	552412	554262	+	1851	0	0	0
YKR059W	chrXI	554629	555816	+	1188	0	0	0
YKR060W	chrXI	556160	556984	+	825	0	0	0
YKR061W	chrXI	557319	558596	+	1278	0	0	0
snR42	chrXI	558658	559008	-	351	0	0	0
YKR062W	chrXI	559308	560294	+	987	0	0	0
YKR063C	chrXI	560431	561939	-	1509	0	0	0
YKR064W	chrXI	562189	564780	+	2592	0	0	0
YKR065C	chrXI	564941	565534	-	594	0	0	0
YKR066C	chrXI	565755	566840	-	1086	0	0	0
YKR067W	chrXI	567560	569791	+	2232	0	0	0
YKR068C	chrXI	569970	570551	-	582	0	0	0
